Estacion,Lat,Lon,meses:1,3,6,9,12,24,36,48
E000V00003,-17.595,-69.478,-0.30,-0.43,0.40,0.72,1.34,1.49,1.04,0.94
E000V00002,-18.197,-69.554,1.62,0.64,1.19,1.19,1.61,1.62,1.53,1.64
E000180005,-18.356,-70.340,-0.70,-0.78,-0.98,-0.91,-0.73,0.13,0.06,0.23
E000V00001,-19.011,-69.857,0.91,0.37,1.07,1.25,1.37,1.48,1.33,1.49
E000V00006,-19.276,-68.638,0.81,0.10,0.88,1.31,1.66,1.55,1.31,1.55
E000V00005,-19.313,-69.427,0.82,0.39,0.92,1.20,1.47,1.31,1.22,1.43
E000V00007,-19.996,-69.767,0.09,-0.01,0.91,1.33,1.52,1.69,1.34,1.37
E000V00004,-20.250,-70.117,1.59,0.95,1.37,1.60,1.69,1.71,1.51,1.53
E000V00008,-20.501,-69.342,1.81,0.98,1.30,1.47,1.61,1.72,1.41,1.50
E000200006,-20.549,-70.181,-0.03,-0.13,-0.74,-0.72,-0.47,0.52,1.62,0.93
E000V00011,-21.224,-68.255,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
E000V00013,-22.091,-70.200,1.51,0.72,1.12,1.19,1.48,1.56,1.07,1.29
E000V00014,-22.350,-69.666,1.88,0.53,0.98,1.46,1.43,1.46,1.26,1.19
E000220002,-22.498,-68.892,-1.24,-0.98,-0.96,-1.14,-0.83,-0.12,-0.27,-0.16
E000V00009,-22.892,-69.320,1.26,0.14,0.55,0.82,0.73,0.72,0.09,-0.36
E000V00012,-22.932,-68.213,-0.10,-0.19,-0.59,0.37,0.43,0.63,-0.08,-0.48
E000230001,-23.454,-70.445,0.65,0.48,-0.46,-0.09,0.15,0.97,1.17,1.06
E000V00166,-23.600,-67.440,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
E000V00165,-23.940,-68.570,0.78,0.64,0.42,0.32,0.37,-0.01,-0.76,-0.98
E000V00164,-24.510,-69.690,0.37,-0.57,-0.52,-0.41,-0.53,-0.70,-1.12,-1.25
E000V00167,-25.000,-69.300,0.65,0.53,0.41,0.31,-0.05,-0.46,-1.01,-1.11
E000V00010,-25.411,-70.484,0.39,-0.44,-0.29,-0.18,-0.36,-0.84,-1.22,-1.28
E000V00168,-25.700,-69.270,-0.49,-0.25,0.41,0.88,0.48,-0.51,-1.08,-1.17
E000V00169,-26.250,-68.990,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
E000V00016,-26.332,-70.611,0.47,-0.06,0.10,0.42,0.39,-0.49,-1.11,-1.11
E000V00017,-26.391,-70.046,0.45,0.11,0.19,0.45,0.54,-0.39,-1.06,-1.03
E000V00170,-27.070,-69.330,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
E000270008,-27.254,-70.781,0.08,-0.23,-0.99,-0.92,-0.82,0.44,1.45,1.04
E000270009,-27.359,-70.353,0.01,-0.09,-0.67,-1.07,-0.94,0.26,1.11,0.86
E000V00171,-27.980,-69.810,1.12,1.14,0.85,0.95,1.10,0.33,-0.68,-0.13
E000V00019,-28.463,-71.225,0.29,-0.07,-0.06,0.15,0.28,-0.35,-1.01,-1.04
E000V00018,-28.768,-70.449,0.36,-0.48,-0.48,-0.35,-0.20,-0.50,-1.17,-1.10
E000V00015,-28.976,-70.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
E000V00021,-29.372,-71.116,0.06,-0.35,-0.59,-0.31,-0.14,-0.60,-1.17,-1.16
E000290004,-29.914,-71.207,1.33,-0.01,-1.11,-1.22,-0.89,0.62,0.87,0.61
E000V00022,-30.031,-70.721,-0.02,-0.47,-0.78,-0.72,-0.71,-0.92,-1.30,-1.26
E000V00020,-30.234,-71.082,0.01,0.12,-0.51,-0.40,-0.41,-0.89,-1.32,-1.28
E000V00172,-30.380,-71.720,0.38,-0.43,-0.66,-0.45,-0.38,-0.78,-1.35,-1.28
E000V00027,-30.746,-70.937,-0.12,0.72,-0.25,-0.24,-0.28,-1.07,-1.34,-1.35
E000V00028,-30.838,-71.256,-0.19,0.10,-0.83,-0.73,-0.69,-1.24,-1.62,-1.52
E000V00026,-31.188,-70.999,-0.22,0.04,-0.68,-0.61,-0.60,-1.22,-1.51,-1.47
E000V00024,-31.390,-71.413,-0.20,-0.86,-1.32,-1.17,-1.10,-1.48,-1.73,-1.66
E000V00023,-31.633,-71.152,-0.31,-0.31,-0.91,-0.75,-0.74,-1.33,-1.65,-1.62
E000V00025,-31.783,-70.970,-0.51,0.51,-0.40,-0.34,-0.35,-1.15,-1.48,-1.48
E000320019,-32.076,-70.707,-1.44,-1.50,-1.01,-1.53,-1.79,-1.05,-0.94,-0.96
E000V00035,-32.251,-70.926,-0.70,0.49,-0.50,-0.40,-0.41,-1.16,-1.49,-1.51
E000V00174,-32.343,-70.464,-1.06,0.26,-0.75,-0.69,-0.73,-1.15,-1.38,-1.42
E000V00033,-32.362,-70.819,-0.60,0.32,-0.60,-0.50,-0.52,-1.24,-1.44,-1.49
E000V00034,-32.505,-71.441,-0.67,-0.67,-1.07,-0.89,-0.88,-1.40,-1.54,-1.55
E000V00175,-32.540,-71.014,-0.49,-0.04,-0.91,-0.74,-0.73,-1.35,-1.52,-1.56
E000V00041,-32.594,-70.725,-0.71,-0.03,-0.94,-0.77,-0.77,-1.30,-1.47,-1.51
E000V00176,-32.618,-70.368,-0.66,-0.07,-0.80,-0.73,-0.76,-1.30,-1.43,-1.50
E000V00040,-32.757,-70.809,-0.91,-0.18,-0.89,-0.73,-0.75,-1.37,-1.49,-1.52
E000V00031,-32.789,-71.526,-0.74,-0.87,-1.18,-0.93,-0.89,-1.44,-1.49,-1.54
E000V00037,-32.790,-71.173,-0.86,-0.79,-1.21,-1.06,-1.04,-1.48,-1.52,-1.59
