Estacion,Lat,Lon,meses:1,3,6,9,12,24,36,48
E000V00003,-17.595,-69.478,-0.64,-0.73,-0.66,-1.19,-1.07,-0.17,-0.12,-0.18
E000V00002,-18.197,-69.554,0.03,0.26,0.83,-0.33,-0.01,0.57,0.49,0.63
E000180005,-18.356,-70.340,0.96,1.03,0.81,0.69,0.64,-0.06,0.19,0.93
E000V00001,-19.011,-69.857,-0.70,-0.56,-0.17,-0.36,0.15,0.21,0.26,0.43
E000V00006,-19.276,-68.638,-1.28,-1.01,-0.27,-1.41,-0.96,0.21,0.05,0.04
E000V00005,-19.313,-69.427,-0.75,-0.37,0.02,-0.53,0.07,0.56,0.35,0.54
E000V00007,-19.996,-69.767,-2.29,-2.14,-1.38,-1.49,-1.03,-1.11,-0.93,-0.98
E000V00004,-20.250,-70.117,-1.39,-1.19,-1.10,-1.10,-1.04,-0.73,-0.54,-0.52
E000V00008,-20.501,-69.342,-1.59,-1.36,-1.02,-1.28,-0.88,-0.74,-0.78,-0.67
E000200006,-20.549,-70.181,1.68,0.81,0.39,0.33,0.30,-0.48,0.06,0.45
E000V00011,-21.224,-68.255,-0.27,-0.27,0.18,-1.19,-0.79,-0.75,-0.72,-0.65
E000V00013,-22.091,-70.200,-0.55,-0.16,-0.12,-0.40,0.40,0.14,0.01,0.11
E000V00014,-22.350,-69.666,-0.64,-0.11,-0.11,0.38,1.16,0.67,0.44,0.43
E000220002,-22.498,-68.892,1.32,0.41,-0.02,0.07,-0.01,-0.06,-0.57,0.20
E000V00009,-22.892,-69.320,-0.66,-0.52,-0.38,-0.32,0.03,-0.13,-0.29,-0.28
E000V00012,-22.932,-68.213,-1.44,-1.26,-0.57,-1.10,0.41,-0.13,-0.40,-0.08
E000230001,-23.454,-70.445,0.61,0.42,-0.01,-0.02,-0.13,-0.80,-0.54,-1.02
E000V00166,-23.600,-67.440,-0.28,-0.52,-0.25,-0.35,0.57,0.09,-0.27,-0.09
E000V00165,-23.940,-68.570,-0.71,-0.47,-0.42,-0.13,0.59,0.70,0.54,0.56
E000V00164,-24.510,-69.690,-0.40,-0.01,-0.12,-0.15,0.76,0.42,0.26,0.18
E000V00167,-25.000,-69.300,-0.58,-0.19,0.25,0.08,0.44,0.32,0.24,0.25
E000V00010,-25.411,-70.484,-0.73,-0.41,-0.42,-0.33,-0.25,-0.10,-0.24,-0.18
E000V00168,-25.700,-69.270,-0.90,-0.42,-0.39,0.56,0.61,0.50,0.46,0.46
E000V00169,-26.250,-68.990,0.66,0.33,-0.17,0.07,0.18,0.21,0.00,-0.03
E000V00016,-26.332,-70.611,-1.33,0.52,0.27,0.29,0.19,0.30,0.08,0.25
E000V00017,-26.391,-70.046,-1.32,0.34,0.04,0.05,0.03,0.08,-0.31,-0.09
E000V00170,-27.070,-69.330,-1.13,0.14,-0.37,0.04,0.21,0.27,0.12,0.27
E000270008,-27.254,-70.781,1.58,-0.27,-0.44,-0.40,-0.35,0.38,-0.11,-0.61
E000270009,-27.359,-70.353,0.98,-0.34,-0.81,-0.81,-0.87,-0.73,-0.50,-1.03
E000V00171,-27.980,-69.810,-0.37,0.88,0.31,0.23,0.20,0.21,0.05,0.28
E000V00019,-28.463,-71.225,-1.00,-1.29,-1.54,-1.54,-1.44,-0.71,-1.00,-0.54
E000V00018,-28.768,-70.449,-0.81,-1.76,-2.21,-2.20,-2.09,-1.46,-1.42,-0.94
E000V00015,-28.976,-70.000,-0.27,-1.38,-1.75,-0.73,-0.71,-0.65,-0.59,-0.27
E000V00021,-29.372,-71.116,-0.98,-1.44,-1.85,-1.78,-1.74,-1.71,-1.88,-1.25
E000290004,-29.914,-71.207,-0.39,-0.64,-1.59,-1.60,-1.56,-0.69,-1.62,-1.90
E000V00022,-30.031,-70.721,-0.14,-1.46,-2.04,-2.04,-1.90,-1.86,-1.83,-1.15
E000V00020,-30.234,-71.082,-0.28,-1.15,-1.79,-1.75,-1.66,-1.35,-1.55,-1.05
E000V00172,-30.380,-71.720,-1.65,-0.69,-1.47,-1.45,-1.39,-1.52,-1.99,-1.92
E000V00027,-30.746,-70.937,-0.24,-1.24,-1.86,-1.85,-1.78,-1.13,-1.40,-1.08
E000V00028,-30.838,-71.256,-0.81,-0.69,-1.62,-1.61,-1.56,-1.47,-1.87,-1.75
E000V00026,-31.188,-70.999,-0.70,-0.99,-1.68,-1.68,-1.66,-1.10,-1.47,-1.38
E000V00024,-31.390,-71.413,-0.37,0.19,-0.75,-0.75,-0.74,-1.27,-1.99,-1.99
E000V00023,-31.633,-71.152,-0.36,0.23,-0.63,-0.64,-0.66,-0.96,-1.39,-1.38
E000V00025,-31.783,-70.970,-0.10,-0.20,-0.76,-0.76,-0.75,-0.48,-0.92,-0.84
E000320019,-32.076,-70.707,0.88,0.06,-0.75,-0.62,-0.76,-1.38,-1.60,-1.71
E000V00035,-32.251,-70.926,-0.50,-0.27,-1.02,-1.03,-1.05,-0.94,-1.50,-1.48
E000V00174,-32.343,-70.464,-1.11,-0.37,-1.12,-1.09,-1.08,-0.99,-1.16,-1.13
E000V00033,-32.362,-70.819,-0.26,0.09,-0.62,-0.64,-0.69,-0.84,-1.39,-1.30
E000V00034,-32.505,-71.441,1.27,0.59,-0.35,-0.37,-0.42,-0.90,-1.62,-1.72
E000V00175,-32.540,-71.014,0.54,0.35,-0.44,-0.47,-0.52,-0.84,-1.55,-1.67
E000V00041,-32.594,-70.725,-0.05,0.04,-0.79,-0.81,-0.89,-1.15,-1.68,-1.55
E000V00176,-32.618,-70.368,-0.50,0.15,-0.62,-0.62,-0.76,-0.95,-1.27,-1.23
E000V00040,-32.757,-70.809,0.73,0.16,-0.59,-0.62,-0.70,-0.97,-1.68,-1.70
E000V00031,-32.789,-71.526,1.11,0.45,-0.28,-0.29,-0.33,-0.87,-1.63,-1.60
E000V00037,-32.790,-71.173,0.90,0.57,-0.40,-0.41,-0.46,-1.02,-1.72,-1.72
E000320028,-32.828,-71.227,1.06,0.69,-0.04,-0.08,-0.20,-0.83,-1.34,-1.43
E000V00032,-32.890,-70.382,0.87,0.33,-0.68,-0.70,-0.78,-1.14,-1.47,-1.35
E000V00036,-32.893,-71.207,0.99,0.67,-0.27,-0.29,-0.33,-0.86,-1.63,-1.54
E000V00030,-32.917,-71.517,0.79,0.43,-0.39,-0.41,-0.47,-0.93,-1.69,-1.61
E000V00042,-32.994,-71.261,1.00,0.64,-0.33,-0.35,-0.40,-0.96,-1.71,-1.68
E000330002,-33.023,-71.648,1.08,0.36,-0.05,-0.08,-0.17,-0.65,-1.50,-1.64
E000330007,-33.065,-71.556,0.92,0.50,0.11,0.09,0.03,-0.60,-1.23,-1.30
