Estacion,Lat,Lon,meses:1,3,6,9,12,24,36,48
E000V00003,-17.595,-69.478,-0.84,-1.00,-1.66,-1.71,-1.99,-1.27,-0.39,0.23
E000V00002,-18.197,-69.554,-0.76,-0.87,-1.43,-1.58,-2.11,-1.38,0.13,2.33
E000V00001,-19.011,-69.857,-0.73,-0.60,-0.72,-0.70,-1.31,-0.36,0.77,0.03
E000V00006,-19.276,-68.638,-0.90,-0.93,-1.19,-1.42,-2.29,-1.46,0.46,2.33
E000V00005,-19.313,-69.427,-0.82,-0.80,-0.94,-1.04,-1.79,-0.89,0.78,1.31
E000V00007,-19.996,-69.767,-0.64,-0.56,-0.62,-0.49,-0.79,-0.10,0.03,-0.39
E000V00004,-20.250,-70.117,-0.63,-0.51,-0.55,-0.40,-0.50,-0.15,-0.34,-0.74
E000V00008,-20.501,-69.342,-0.46,-0.25,-0.37,-0.21,-0.48,0.22,-0.05,-0.60
E000V00011,-21.224,-68.255,-0.57,-0.39,-1.19,-1.43,-1.62,-0.73,-0.04,0.28
E000V00013,-22.091,-70.200,-0.59,-0.20,-0.25,-0.26,-1.11,0.14,2.33,1.03
E000V00014,-22.350,-69.666,-0.59,-0.27,-0.46,-0.67,-1.44,-0.17,2.33,2.33
E000V00009,-22.892,-69.320,-0.87,-0.82,-1.00,-1.24,-1.78,-0.96,-0.02,0.84
E000V00012,-22.932,-68.213,-1.20,-1.16,-1.53,-1.70,-1.80,-1.13,-0.73,-0.54
E000V00166,-23.600,-67.440,-1.60,-1.10,-1.94,-2.13,-2.08,-1.55,-1.17,-0.95
E000V00165,-23.940,-68.570,-1.45,-1.36,-1.77,-1.86,-2.03,-1.53,-1.08,-0.76
E000V00164,-24.510,-69.690,-1.29,-1.32,-1.65,-1.73,-2.01,-1.62,-1.12,-0.88
E000V00167,-25.000,-69.300,-1.38,-1.37,-1.71,-1.79,-2.05,-1.61,-1.13,-0.86
E000V00010,-25.411,-70.484,-1.18,-1.17,-1.51,-1.58,-2.00,-1.67,-1.09,-0.91
E000V00168,-25.700,-69.270,-1.09,-1.09,-1.44,-1.48,-1.99,-1.65,-0.95,-0.79
E000V00169,-26.250,-68.990,-1.60,-0.04,-1.27,-1.31,-1.92,-2.03,-1.38,-0.98
E000V00016,-26.332,-70.611,-0.91,-0.71,-1.12,-1.11,-1.88,-1.59,-0.78,-0.61
E000V00017,-26.391,-70.046,-0.86,-0.73,-1.17,-1.10,-1.89,-1.54,-0.56,-0.47
E000V00170,-27.070,-69.330,-1.48,0.09,-1.14,-0.98,-1.76,-2.16,-1.83,-1.34
E000V00171,-27.980,-69.810,-1.26,-0.01,-1.00,-0.69,-1.61,-1.89,-1.40,-0.92
E000V00019,-28.463,-71.225,-0.88,-0.28,-1.11,-0.62,-1.58,-1.48,-0.76,-0.40
E000V00018,-28.768,-70.449,-1.13,0.08,-1.21,-0.86,-1.68,-1.85,-1.17,-0.64
E000V00015,-28.976,-70.000,-1.23,0.18,-1.14,-0.85,-1.66,-1.98,-1.47,-0.90
E000V00021,-29.372,-71.116,-0.81,0.00,-1.30,-0.79,-1.67,-1.60,-0.78,-0.19
E000V00022,-30.031,-70.721,-1.14,0.15,-1.48,-0.93,-1.53,-1.73,-1.23,-0.87
E000V00020,-30.234,-71.082,-1.04,0.11,-1.43,-0.79,-1.49,-1.63,-1.10,-0.71
E000V00172,-30.380,-71.720,-1.01,0.04,-1.40,-0.73,-1.48,-1.51,-0.90,-0.46
E000V00027,-30.746,-70.937,-1.22,0.15,-1.51,-0.93,-1.46,-1.70,-1.26,-0.91
E000V00028,-30.838,-71.256,-1.14,0.12,-1.50,-0.85,-1.44,-1.61,-1.13,-0.78
E000V00026,-31.188,-70.999,-1.25,0.11,-1.53,-0.91,-1.41,-1.67,-1.24,-0.90
E000V00024,-31.390,-71.413,-1.19,0.11,-1.51,-0.83,-1.38,-1.59,-1.14,-0.81
E000V00023,-31.633,-71.152,-1.27,0.07,-1.59,-0.88,-1.37,-1.57,-1.12,-0.81
E000V00025,-31.783,-70.970,-1.25,0.09,-1.49,-0.86,-1.33,-1.61,-1.20,-0.91
E000V00035,-32.251,-70.926,-1.22,0.08,-1.45,-0.78,-1.24,-1.59,-1.20,-0.87
E000V00174,-32.343,-70.464,-1.26,0.07,-1.43,-0.83,-1.26,-1.68,-1.28,-0.97
E000V00033,-32.362,-70.819,-1.22,0.08,-1.45,-0.78,-1.24,-1.59,-1.20,-0.87
E000V00034,-32.505,-71.441,-1.22,0.06,-1.52,-0.77,-1.24,-1.55,-1.12,-0.79
E000V00175,-32.540,-71.014,-1.22,0.06,-1.52,-0.77,-1.24,-1.55,-1.12,-0.79
E000V00041,-32.594,-70.725,-1.24,0.06,-1.45,-0.76,-1.23,-1.61,-1.22,-0.88
E000V00176,-32.618,-70.368,-1.27,0.07,-1.38,-0.74,-1.19,-1.65,-1.25,-0.94
E000V00040,-32.757,-70.809,-1.24,0.06,-1.45,-0.76,-1.23,-1.61,-1.22,-0.88
E000V00031,-32.789,-71.526,-1.23,0.04,-1.58,-0.79,-1.28,-1.52,-1.03,-0.72
E000V00037,-32.790,-71.173,-1.22,0.06,-1.52,-0.77,-1.24,-1.55,-1.12,-0.79
E000V00032,-32.890,-70.382,-1.27,0.07,-1.38,-0.74,-1.19,-1.65,-1.25,-0.94
E000V00036,-32.893,-71.207,-1.22,0.06,-1.52,-0.77,-1.24,-1.55,-1.12,-0.79
E000V00030,-32.917,-71.517,-1.23,0.04,-1.58,-0.79,-1.28,-1.52,-1.03,-0.72
E000V00042,-32.994,-71.261,-1.22,0.06,-1.52,-0.77,-1.24,-1.55,-1.12,-0.79
E000V00029,-33.083,-71.400,-1.22,0.05,-1.49,-0.73,-1.19,-1.58,-1.12,-0.81
E000V00051,-33.121,-70.834,-1.21,0.06,-1.40,-0.67,-1.12,-1.57,-1.16,-0.83
E000V00050,-33.147,-70.660,-1.21,0.06,-1.40,-0.67,-1.12,-1.57,-1.16,-0.83
E000V00177,-33.230,-71.460,-1.22,0.05,-1.49,-0.73,-1.19,-1.58,-1.12,-0.81
E000V00178,-33.287,-71.155,-1.22,0.05,-1.49,-0.73,-1.19,-1.58,-1.12,-0.81
E000V00046,-33.353,-70.502,-1.21,0.06,-1.40,-0.67,-1.12,-1.57,-1.16,-0.83
E000V00043,-33.420,-70.733,-1.21,0.06,-1.40,-0.67,-1.12,-1.57,-1.16,-0.83
E000V00055,-33.439,-71.026,-1.22,0.05,-1.49,-0.73,-1.19,-1.58,-1.12,-0.81
E000V00038,-33.439,-71.624,-1.23,0.04,-1.63,-0.78,-1.24,-1.55,-1.06,-0.73
E000V00044,-33.467,-70.700,-1.21,0.06,-1.40,-0.67,-1.12,-1.57,-1.16,-0.83
E000V00047,-33.517,-70.766,-1.20,0.05,-1.39,-0.64,-1.11,-1.65,-1.21,-0.87
E000V00039,-33.543,-71.596,-1.24,0.06,-1.58,-0.75,-1.21,-1.59,-1.10,-0.73
E000V00045,-33.545,-70.548,-1.20,0.05,-1.39,-0.64,-1.11,-1.65,-1.21,-0.87
E000V00058,-33.608,-70.902,-1.20,0.05,-1.39,-0.64,-1.11,-1.65,-1.21,-0.87
E000V00048,-33.617,-70.567,-1.20,0.05,-1.39,-0.64,-1.11,-1.65,-1.21,-0.87
E000V00049,-33.676,-70.089,-1.18,0.04,-1.31,-0.61,-1.06,-1.64,-1.24,-0.91
E000V00057,-33.692,-71.101,-1.17,0.05,-1.47,-0.68,-1.16,-1.62,-1.15,-0.83
E000V00052,-33.707,-70.707,-1.20,0.05,-1.39,-0.64,-1.11,-1.65,-1.21,-0.87
E000V00053,-33.862,-70.639,-1.20,0.05,-1.39,-0.64,-1.11,-1.65,-1.21,-0.87
E000V00179,-33.878,-70.220,-1.18,0.04,-1.31,-0.61,-1.06,-1.64,-1.24,-0.91
E000V00056,-33.941,-71.394,-1.17,0.05,-1.47,-0.68,-1.16,-1.62,-1.15,-0.83
E000V00068,-33.959,-71.825,-1.24,0.06,-1.58,-0.75,-1.21,-1.59,-1.10,-0.73
