Estacion,Lat,Lon,meses:1,3,6,9,12,24,36,48
E000V00003,-17.595,-69.478,-0.87,-0.92,-0.78,-0.78,-0.70,-1.47,-1.18,-0.51
E000V00002,-18.197,-69.554,-0.80,-0.78,-0.65,-0.60,-0.54,-1.66,-1.47,-0.26
E000180005,-18.356,-70.340,-0.50,-0.72,-0.79,-0.96,-1.09,0.38,1.56,0.47
E000V00001,-19.011,-69.857,-0.64,-0.46,-0.47,-0.25,-0.10,-0.78,-0.25,1.00
E000V00006,-19.276,-68.638,-0.68,-0.68,-0.65,-0.53,-0.53,-1.91,-1.73,-0.31
E000V00005,-19.313,-69.427,-0.71,-0.65,-0.62,-0.44,-0.36,-1.35,-0.97,0.49
E000V00007,-19.996,-69.767,-0.54,-0.48,-0.54,-0.30,-0.13,-0.34,0.02,0.19
E000V00004,-20.250,-70.117,-0.58,-0.49,-0.55,-0.36,-0.22,-0.24,-0.07,-0.19
E000V00008,-20.501,-69.342,-0.36,-0.23,-0.40,-0.12,0.06,-0.05,0.36,0.20
E000200006,-20.549,-70.181,-0.38,-0.39,-0.35,-0.50,-0.56,0.94,1.63,2.33
E000V00011,-21.224,-68.255,-0.32,-0.03,-0.93,-0.66,-0.38,-1.10,-0.65,-0.10
E000V00013,-22.091,-70.200,-0.43,0.03,-0.71,-0.23,0.10,-0.68,0.16,2.33
E000V00014,-22.350,-69.666,-0.35,0.16,-0.54,-0.16,0.15,-0.86,-0.11,2.33
E000220002,-22.498,-68.892,-3.40,-3.48,-3.14,-3.37,-3.47,-1.37,-0.40,0.30
E000V00009,-22.892,-69.320,-0.41,-0.21,-0.55,-0.38,-0.36,-1.25,-0.89,-0.14
E000V00012,-22.932,-68.213,-0.55,-0.55,-1.12,-1.03,-0.87,-1.39,-1.08,-0.79
E000230001,-23.454,-70.445,-0.01,0.14,0.33,0.50,0.41,0.48,1.24,2.33
E000V00166,-23.600,-67.440,-0.49,-0.48,-1.10,-1.07,-0.91,-1.57,-1.36,-1.13
E000V00165,-23.940,-68.570,-0.65,-0.75,-1.15,-1.13,-1.12,-1.64,-1.44,-1.13
E000V00164,-24.510,-69.690,-0.72,-0.66,-0.97,-0.95,-1.15,-1.66,-1.51,-1.16
E000V00167,-25.000,-69.300,-0.74,-0.72,-1.02,-0.99,-1.15,-1.65,-1.50,-1.16
E000V00010,-25.411,-70.484,-0.62,-0.44,-0.64,-0.61,-0.96,-1.56,-1.49,-1.08
E000V00168,-25.700,-69.270,-0.60,-0.41,-0.93,-0.81,-1.14,-1.67,-1.57,-1.06
E000V00169,-26.250,-68.990,-0.23,-0.07,-1.11,-1.07,-0.56,-1.64,-1.84,-1.28
E000V00016,-26.332,-70.611,-0.38,-0.09,-1.00,-0.73,-0.38,-1.35,-1.36,-0.71
E000V00017,-26.391,-70.046,-0.42,-0.11,-1.06,-0.80,-0.43,-1.38,-1.36,-0.60
E000V00170,-27.070,-69.330,-0.15,-0.03,-1.22,-1.30,-0.85,-1.82,-2.25,-1.80
E000270008,-27.254,-70.781,-1.94,-2.47,-3.22,-3.76,-3.99,-3.00,-2.20,-2.05
E000270009,-27.359,-70.353,-2.01,-2.80,-3.51,-4.01,-3.94,-2.05,-0.60,-0.12
E000V00171,-27.980,-69.810,-0.19,0.04,-1.14,-1.05,-0.58,-1.59,-2.02,-1.43
E000V00019,-28.463,-71.225,-0.36,0.02,-1.19,-0.86,-0.41,-1.35,-1.52,-0.86
E000V00018,-28.768,-70.449,-0.14,0.11,-1.24,-1.17,-0.64,-1.57,-1.86,-1.25
E000V00015,-28.976,-70.000,-0.11,0.08,-1.21,-1.24,-0.72,-1.66,-2.04,-1.47
E000V00021,-29.372,-71.116,-0.21,0.17,-1.22,-0.98,-0.44,-1.43,-1.63,-0.92
